--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  9. allí                 (Prob: 0.020195)
  10. buen                 (Prob: 0.020195)
  11. cristiano            (Prob: 0.015159)
  12. siguiente            (Prob: 0.015159)
  13. exterminación        (Prob: 0.015159)
  14. sarcástico           (Prob: 0.010123)
  15. hedor                (Prob: 0.010123)
  16. cosa                 (Prob: 0.010123)
  17. recordar             (Prob: 0.010123)
  18. abrigábamo           (Prob: 0.005087)
  19. permitir él          (Prob: 0.005087)
  20. extirpar             (Prob: 0.005087)

==================== TEMA 29 ====================
  1. aquel                (Prob: 0.074618)
  2. distinto             (Prob: 0.041993)
  3. horrible             (Prob: 0.028011)
  4. látigo               (Prob: 0.028011)
  5. ocho                 (Prob: 0.023350)
  6. pensar               (Prob: 0.018689)
  7. responsabilidad      (Prob: 0.018689)
  8. suelo                (Prob: 0.018689)
  9. ocasión              (Prob: 0.014029)
  10. garganta             (Prob: 0.014029)
  11. fila                 (Prob: 0.014029)
  12. observar             (Prob: 0.009368)
  13. terminado            (Prob: 0.009368)
  14. presencia            (Prob: 0.009368)
  15. murmullo             (Prob: 0.009368)
  16. advertir             (Prob: 0.009368)
  17. metro                (Prob: 0.009368)
  18. oficina              (Prob: 0.009368)
  19. robusto              (Prob: 0.009368)
  20. establecer           (Prob: 0.009368)

==================== TEMA 30 ====================
  1. judío                (Prob: 0.086789)
  2. poder                (Prob: 0.060765)
  3. mes                  (Prob: 0.052091)
  4. madre                (Prob: 0.030404)
  5. lleno                (Prob: 0.030404)
  6. físico               (Prob: 0.026067)
  7. día                  (Prob: 0.021730)
  8. usar                 (Prob: 0.017392)
  9. esperábar            (Prob: 0.017392)
  10. decidir              (Prob: 0.017392)
  11. cerrar               (Prob: 0.013055)
  12. corriente            (Prob: 0.013055)
  13. ocupado              (Prob: 0.013055)
  14. realizado            (Prob: 0.008718)
  15. acercar              (Prob: 0.008718)
  16. mientras             (Prob: 0.008718)
  17. ordenar              (Prob: 0.008718)
  18. existiesir           (Prob: 0.004381)
  19. trascender           (Prob: 0.004381)
  20. deutschesaufrustungswerk (Prob: 0.004381)

==================== TEMA 31 ====================
  1. aquel                (Prob: 0.185268)
  2. mismo                (Prob: 0.071286)
  3. ser                  (Prob: 0.023794)
  4. mujer                (Prob: 0.023794)
  5. cuidado              (Prob: 0.023794)
  6. desnudo              (Prob: 0.019044)
  7. ahorcado             (Prob: 0.009546)
  8. gas                  (Prob: 0.009546)
  9. él                   (Prob: 0.009546)
  10. característico       (Prob: 0.009546)
  11. cuarto               (Prob: 0.009546)
  12. ver él               (Prob: 0.009546)
  13. borracho             (Prob: 0.009546)
  14. informar             (Prob: 0.009546)
  15. morder               (Prob: 0.009546)
  16. trato                (Prob: 0.004797)
  17. monstruoso           (Prob: 0.004797)
  18. gallo                (Prob: 0.004797)
  19. exterminarno         (Prob: 0.004797)
  20. supervisor           (Prob: 0.004797)

==================== TEMA 32 ====================
  1. dejar                (Prob: 0.116237)
  2. lado                 (Prob: 0.048460)
  3. convertir            (Prob: 0.048460)
  4. misión               (Prob: 0.029096)
  5. cincuenta            (Prob: 0.019413)
  6. salido               (Prob: 0.014572)
  7. deber                (Prob: 0.009731)
  8. seis                 (Prob: 0.009731)
  9. espacio              (Prob: 0.009731)
  10. frontera             (Prob: 0.009731)
  11. cigarrillo           (Prob: 0.009731)
  12. locura               (Prob: 0.009731)
  13. pelo                 (Prob: 0.009731)
  14. tarjeta              (Prob: 0.009731)
  15. todavía              (Prob: 0.009731)
  16. acuerdo              (Prob: 0.009731)
  17. dónde                (Prob: 0.009731)
  18. pondencio            (Prob: 0.004890)
  19. pie                  (Prob: 0.004890)
  20. testimonio           (Prob: 0.004890)

==================== TEMA 33 ====================
  1. llevar               (Prob: 0.075977)
  2. jamás                (Prob: 0.055730)
  3. contestar            (Prob: 0.050668)
  4. artículo             (Prob: 0.025359)
  5. cuyo                 (Prob: 0.025359)
  6. descanso             (Prob: 0.020298)
  7. asesinato            (Prob: 0.015236)
  8. ayer                 (Prob: 0.015236)
  9. horrible             (Prob: 0.010174)
  10. conciencia           (Prob: 0.010174)
  11. aplastar             (Prob: 0.010174)
  12. novio                (Prob: 0.010174)
  13. sido                 (Prob: 0.010174)
  14. negociar             (Prob: 0.010174)
  15. girar                (Prob: 0.010174)
  16. deber                (Prob: 0.010174)
  17. clase                (Prob: 0.005112)
  18. apretar              (Prob: 0.005112)
  19. portal               (Prob: 0.005112)
  20. tomé                 (Prob: 0.005112)

==================== TEMA 34 ====================
  1. deber                (Prob: 0.096571)
  2. cluj                 (Prob: 0.050607)
  3. absolutamente        (Prob: 0.032221)
  4. compañera            (Prob: 0.032221)
  5. trabajador           (Prob: 0.032221)
  6. robar                (Prob: 0.027625)
  7. sentir               (Prob: 0.018432)
  8. diferente            (Prob: 0.018432)
